what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core,0.9.0.r36x201105061148,"org.eclipse.wb.core",1311291998310
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201105061148,"org.eclipse.wb.core.lib",1311291998330
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105061154,"org.eclipse.wb.core.xml",1311291998359
started,bundle,org.eclipse.wb.discovery.core,0.9.0.r36x201105061153,"org.eclipse.wb.discovery.core",1311291998361
started,bundle,org.eclipse.wb.discovery.ui,0.9.0.r36x201105061153,"org.eclipse.wb.discovery.ui",1311291998363
started,bundle,org.eclipse.wb.rcp,0.9.0.r36x201105051045,"org.eclipse.wb.rcp",1311291998363
started,bundle,org.eclipse.wb.swing,0.9.0.r36x201105061217,"org.eclipse.wb.swing",1311291998363
started,bundle,org.eclipse.wb.swt,0.9.0.r36x201105061245,"org.eclipse.wb.swt",1311291998387
os,sysinfo,,,"win32",1311291998393
arch,sysinfo,,,"x86",1311291998393
ws,sysinfo,,,"win32",1311291998393
locale,sysinfo,,,"es_CL",1311291998393
processors,sysinfo,,,"4",1311291998393
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311291998393
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1311291998393
java.specification.name,sysinfo,,,"Java Platform API Specification",1311291998393
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311291998393
java.specification.version,sysinfo,,,"1.6",1311291998393
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311291998393
java.version,sysinfo,,,"1.6.0_26",1311291998393
java.vm.info,sysinfo,,,"mixed mode, sharing",1311291998393
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311291998393
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311291998393
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311291998393
java.vm.specification.version,sysinfo,,,"1.0",1311291998393
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311291998393
java.vm.version,sysinfo,,,"20.1-b02",1311291998393
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1311291998437
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1311291998478
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1311291998556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311291999625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292022410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292027766
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1311292054572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311292055185
